match_id,team_id,crosses_openplay_from_segments,crosses_openplay_from_files,_merge,diff
DFL-MAT-J03WEL,DFL-CLU-00000F,12,12,both,0
DFL-MAT-J03WEL,DFL-CLU-00000G,6,6,both,0
DFL-MAT-J03WEM,DFL-CLU-000007,5,5,both,0
DFL-MAT-J03WEM,DFL-CLU-00000B,10,10,both,0
DFL-MAT-J03WEN,DFL-CLU-00000V,14,14,both,0
DFL-MAT-J03WEN,DFL-CLU-00000Z,5,5,both,0
DFL-MAT-J03WEO,DFL-CLU-000008,27,28,both,-1
DFL-MAT-J03WEO,DFL-CLU-000009,4,4,both,0
DFL-MAT-J03WEP,DFL-CLU-000002,2,2,both,0
DFL-MAT-J03WEP,DFL-CLU-000004,13,13,both,0
DFL-MAT-J03WEQ,DFL-CLU-000003,8,8,both,0
DFL-MAT-J03WEQ,DFL-CLU-00000E,9,12,both,-3
DFL-MAT-J03WER,DFL-CLU-000006,13,13,both,0
DFL-MAT-J03WER,DFL-CLU-00000S,11,11,both,0
DFL-MAT-J03WES,DFL-CLU-00000A,7,7,both,0
DFL-MAT-J03WES,DFL-CLU-000010,5,5,both,0
DFL-MAT-J03WET,DFL-CLU-00000D,1,1,both,0
DFL-MAT-J03WET,DFL-CLU-000017,18,18,both,0
DFL-MAT-J03WEU,DFL-CLU-000003,6,6,both,0
DFL-MAT-J03WEU,DFL-CLU-00000G,11,11,both,0
DFL-MAT-J03WEV,DFL-CLU-00000B,20,20,both,0
DFL-MAT-J03WEV,DFL-CLU-000010,6,6,both,0
DFL-MAT-J03WEW,DFL-CLU-000008,11,11,both,0
DFL-MAT-J03WEW,DFL-CLU-000017,6,6,both,0
DFL-MAT-J03WEX,DFL-CLU-000007,6,6,both,0
DFL-MAT-J03WEX,DFL-CLU-00000A,12,12,both,0
DFL-MAT-J03WEY,DFL-CLU-000006,7,7,both,0
DFL-MAT-J03WEY,DFL-CLU-00000V,10,10,both,0
DFL-MAT-J03WEZ,DFL-CLU-000002,12,12,both,0
DFL-MAT-J03WEZ,DFL-CLU-00000S,10,10,both,0
DFL-MAT-J03WF0,DFL-CLU-00000F,8,8,both,0
DFL-MAT-J03WF0,DFL-CLU-00000Z,5,5,both,0
DFL-MAT-J03WF1,DFL-CLU-000004,2,2,both,0
DFL-MAT-J03WF1,DFL-CLU-000009,11,11,both,0
DFL-MAT-J03WF2,DFL-CLU-00000D,8,8,both,0
DFL-MAT-J03WF2,DFL-CLU-00000E,12,12,both,0
DFL-MAT-J03WF3,DFL-CLU-000007,4,4,both,0
DFL-MAT-J03WF3,DFL-CLU-00000E,7,7,both,0
DFL-MAT-J03WF4,DFL-CLU-000002,9,10,both,-1
DFL-MAT-J03WF4,DFL-CLU-00000B,8,8,both,0
DFL-MAT-J03WF5,DFL-CLU-00000V,11,11,both,0
DFL-MAT-J03WF5,DFL-CLU-000017,18,18,both,0
DFL-MAT-J03WF6,DFL-CLU-000004,9,9,both,0
DFL-MAT-J03WF6,DFL-CLU-00000Z,2,2,both,0
DFL-MAT-J03WF7,DFL-CLU-000008,9,9,both,0
DFL-MAT-J03WF7,DFL-CLU-00000F,9,9,both,0
DFL-MAT-J03WF8,DFL-CLU-000003,15,15,both,0
DFL-MAT-J03WF8,DFL-CLU-000009,8,8,both,0
DFL-MAT-J03WF9,DFL-CLU-00000G,5,5,both,0
DFL-MAT-J03WF9,DFL-CLU-00000S,13,13,both,0
DFL-MAT-J03WFA,DFL-CLU-000006,12,13,both,-1
DFL-MAT-J03WFA,DFL-CLU-000010,3,3,both,0
DFL-MAT-J03WFB,DFL-CLU-00000A,6,6,both,0
DFL-MAT-J03WFB,DFL-CLU-00000D,14,14,both,0
DFL-MAT-J03WFC,DFL-CLU-000004,0,0,left_only,0
DFL-MAT-J03WFC,DFL-CLU-00000G,21,21,both,0
DFL-MAT-J03WFD,DFL-CLU-000003,7,7,both,0
DFL-MAT-J03WFD,DFL-CLU-000017,9,9,both,0
DFL-MAT-J03WFE,DFL-CLU-00000A,7,7,both,0
